127.0.0.1 - - [24/Sep/2021:08:42:20 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:15:30 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8452
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:15:32 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:15:54 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&txtcedula=111&txtnombre=Paulo+Acero&txtemail=&txtusuario=&txtpassword=&accion=Agregar HTTP/1.1" 500 2988
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:15:57 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Cargar&id=111 HTTP/1.1" 500 3002
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:16:09 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&txtcedula=111&txtnombre=Paulo+Acero&txtemail=paulo%40gmail.com&txtusuario=paulo&txtpassword=123&accion=Agregar HTTP/1.1" 500 3011
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:16:23 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:16:26 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:49:02 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:49:02 -0500] "GET /Ciclo3demo/cssPrincipal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:10:49:02 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:00:24 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:00:31 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:00:41 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:00:43 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Cargar&id=111 HTTP/1.1" 500 3048
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:01:02 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&txtcedula=111&txtnombre=Paulo+Acero+Soto&txtemail=paulo%40gmail.com&txtusuario=alex&txtpassword=123&accion=Agregar HTTP/1.1" 500 3015
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:12 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:13 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:17 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:48 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:48 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:06:51 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:07:56 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:07:56 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:08:51 -0500] "GET /Ciclo3demo/Controlador?menu=Clientes HTTP/1.1" 500 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:38:26 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:38:27 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:38:47 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:38:48 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:39:33 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:39:35 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:40:00 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&txtcedula=12345&txtnombre=Liliana&txtemail=liliana%40gmail.com&txtusuario=liliana&txtpassword=123&accion=Agregar HTTP/1.1" 500 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:40:02 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Cargar&id=12345 HTTP/1.1" 500 3009
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:41:05 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:41:09 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:41:09 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:11:41:11 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:23:58 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:23:59 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:23:59 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:01 -0500] "GET /Ciclo3demo/img/wallpaper1.jpg HTTP/1.1" 200 40418
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:18 -0500] "GET /Ciclo3demo/inicio.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:18 -0500] "GET /Ciclo3demo/CssIndex.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:25 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:26 -0500] "GET /Ciclo3demo/cssPrincipal.css HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:24:28 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:37 -0500] "GET /Ciclo3demo/DemoServlet?txtusuario=admin&txtpassword=123&accion=Ingresar HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:37 -0500] "GET /Ciclo3demo/img/icon.jpg HTTP/1.1" 200 14955
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:42 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:43 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:45 -0500] "GET /Ciclo3demo/Controlador?menu=Clientes HTTP/1.1" 500 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:47 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:26:57 -0500] "GET /Ciclo3demo/Controlador?menu=Principal HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [24/Sep/2021:13:27:12 -0500] "GET /Ciclo3demo/Controlador?menu=Usuarios&accion=Listar HTTP/1.1" 200 3416
